URL,Popularity,Categories
github.com/ccxt/ccxt,24875,
github.com/public-apis/public-apis,5592,
github.com/jwasham/coding-interview-university,5340,
github.com/ohmyzsh/ohmyzsh,4768,
github.com/codecrafters-io/build-your-own-x,4609,
github.com/vinta/awesome-python,4381,
github.com/axios/axios,4151,
github.com/storybookjs/storybook,4010,
github.com/mui/material-ui,3890,
github.com/mrdoob/three.js,3472,
github.com/netdata/netdata,3453,
github.com/gatsbyjs/gatsby,3406,
github.com/ytdl-org/youtube-dl,3138,
github.com/nvm-sh/nvm,3018,
github.com/josephmisiti/awesome-machine-learning,2927,
github.com/tauri-apps/tauri,2835,
github.com/ripienaar/free-for-dev,2781,
github.com/996icu/996.ICU,2769,
github.com/vnpy/vnpy,2767,
github.com/mermaid-js/mermaid,2742,
github.com/hoppscotch/hoppscotch,2710,
github.com/papers-we-love/papers-we-love,2658,
github.com/animate-css/animate.css,2636,
github.com/scikit-learn/scikit-learn,2579,
github.com/syncthing/syncthing,2537,
github.com/fatedier/frp,2523,
github.com/awesome-selfhosted/awesome-selfhosted,2513,
github.com/Unitech/pm2,2499,
github.com/lodash/lodash,2490,
github.com/deepfakes/faceswap,2465,
github.com/localstack/localstack,2460,
github.com/metabase/metabase,2375,
github.com/gogs/gogs,2371,
github.com/practical-tutorials/project-based-learning,2369,
github.com/awesomedata/awesome-public-datasets,2357,
github.com/binhnguyennus/awesome-scalability,2307,
github.com/nocodb/nocodb,2289,
github.com/pixijs/pixijs,2255,
github.com/bitcoinbook/bitcoinbook,2252,
github.com/lerna/lerna,2248,
github.com/DefinitelyTyped/DefinitelyTyped,2247,
github.com/nwjs/nw.js,2223,
github.com/CorentinJ/Real-Time-Voice-Cloning,2198,
github.com/huginn/huginn,2183,
github.com/labuladong/fucking-algorithm,2172,
github.com/algorithm-visualizer/algorithm-visualizer,2091,
github.com/obsproject/obs-studio,2081,
github.com/diem/diem,2067,
github.com/sdmg15/Best-websites-a-programmer-should-visit,2058,
github.com/typeorm/typeorm,2051,
github.com/n8n-io/n8n,2024,
github.com/naptha/tesseract.js,1994,
github.com/mitmproxy/mitmproxy,1994,
github.com/nativefier/nativefier,1968,
github.com/chrislgarry/Apollo-11,1954,
github.com/date-fns/date-fns,1900,
github.com/getredash/redash,1888,
github.com/kdn251/interviews,1875,
github.com/alacritty/alacritty,1867,
github.com/marktext/marktext,1866,
github.com/iluwatar/java-design-patterns,1852,
github.com/serhii-londar/open-source-mac-os-apps,1822,
github.com/doczjs/docz,1812,
github.com/cheeriojs/cheerio,1808,
github.com/immutable-js/immutable-js,1806,
github.com/resume/resume.github.com,1793,
github.com/ryanoasis/nerd-fonts,1789,
github.com/lovell/sharp,1788,
github.com/dokku/dokku,1778,
github.com/wagoodman/dive,1775,
github.com/adam-p/markdown-here,1765,
github.com/yewstack/yew,1730,
github.com/go-gorm/gorm,1699,
github.com/starship/starship,1698,
github.com/Leaflet/Leaflet,1689,
github.com/k88hudson/git-flight-rules,1653,
github.com/Genymobile/scrcpy,1652,
github.com/ocornut/imgui,1625,
github.com/markedjs/marked,1622,
github.com/florinpop17/app-ideas,1622,
github.com/tiimgreen/github-cheat-sheet,1581,
github.com/dypsilon/frontend-dev-bookmarks,1569,
github.com/firecracker-microvm/firecracker,1565,
github.com/elsewhencode/project-guidelines,1563,
github.com/swisskyrepo/PayloadsAllTheThings,1550,
github.com/impress/impress.js,1541,
github.com/agalwood/Motrix,1528,
github.com/CryptoSignal/Crypto-Signal,1527,
github.com/hummingbot/hummingbot,1520,
github.com/Popmotion/popmotion,1517,
github.com/bayandin/awesome-awesomeness,1513,
github.com/streamlit/streamlit,1510,
github.com/open-guides/og-aws,1502,
github.com/statelyai/xstate,1500,
github.com/parallax/jsPDF,1500,
github.com/mtdvio/every-programmer-should-know,1497,
github.com/winstonjs/winston,1495,
github.com/localForage/localForage,1490,
github.com/cube-js/cube.js,1488,
github.com/python-telegram-bot/python-telegram-bot,1482,
github.com/ramda/ramda,1477,
github.com/PostgREST/postgrest,1475,
github.com/refined-github/refined-github,1465,
github.com/lensapp/lens,1453,
github.com/recharts/recharts,1452,
github.com/Solido/awesome-flutter,1446,
github.com/iina/iina,1445,
github.com/scutan90/DeepLearning-500-questions,1444,
github.com/ovity/octotree,1435,
github.com/gpujs/gpu.js,1431,
github.com/golang-standards/project-layout,1430,
github.com/aria2/aria2,1427,
github.com/osquery/osquery,1426,
github.com/knex/knex,1425,
github.com/nushell/nushell,1418,
github.com/gocolly/colly,1408,
github.com/viatsko/awesome-vscode,1406,
github.com/mochajs/mocha,1385,
github.com/bbfamily/abu,1382,
github.com/alpinejs/alpine,1372,
github.com/pnpm/pnpm,1368,
github.com/photoprism/photoprism,1368,
github.com/BrainJS/brain.js,1352,
github.com/redux-saga/redux-saga,1351,
github.com/codex-team/editor.js,1349,
github.com/acmesh-official/acme.sh,1348,
github.com/asim/go-micro,1344,
github.com/isocpp/CppCoreGuidelines,1342,
github.com/sqlmapproject/sqlmap,1342,
github.com/AppFlowy-IO/AppFlowy,1336,
github.com/OpenBB-finance/OpenBBTerminal,1330,
github.com/wekan/wekan,1325,
github.com/pouchdb/pouchdb,1320,
github.com/terryum/awesome-deep-learning-papers,1316,
github.com/stedolan/jq,1313,
github.com/artf/grapesjs,1310,
github.com/enzymejs/enzyme,1310,
github.com/joshbuchea/HEAD,1301,
github.com/remoteintech/remote-jobs,1297,
github.com/MunGell/awesome-for-beginners,1285,
github.com/mrjbq7/ta-lib,1284,
github.com/meteor/meteor,1284,
github.com/Budibase/budibase,1283,
github.com/slidevjs/slidev,1270,
github.com/bokeh/bokeh,1269,
github.com/mbeaudru/modern-js-cheatsheet,1266,
github.com/ziadoz/awesome-php,1265,
github.com/tornadoweb/tornado,1258,
github.com/dogecoin/dogecoin,1257,
github.com/zadam/trilium,1243,